,id,name,sex,geography,postcode,ethnic_group,nationality,occupation,Diesel car,Diesel consumption,Electricity consumption,Family type,Gas Availability,Gas consumption,House ID,House members,Individual type,Motor cycle,Number of bedrooms,Other fuel car,Petrol car,Petrol consumption,Region
326,326,Janet Taylor,female,South West,BS23 1PU,White,United Kingdom,Other,0.0,672.0,2103.872438,One family households,No,0.0,490fc72d-a1d0-4d53-8bda-a58167e747a7,2.0,Couple,0.0,2 bedrooms,0.0,0.0,0.0,south west
5188,5188,Leanne Knight,female,South East,TN33 0UH,Asian / Asian British: Pakistani,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
5879,5879,Emily Leonard,female,South West,GL2 8EA,White,United Kingdom,Other,,,,,,,,,,,,,,,
228,228,Sarah Gill,female,East Midlands,S44 5SH,White,United Kingdom,9. Elementary occupations,0.0,0.0,829.2063502000001,One family households,Yes,3393.116318,7185c6ac-8e3c-4003-a528-0afa16bd0734,6.0,Child,0.0,4 bedrooms,0.0,0.0,0.0,east midlands
3075,3075,Pamela Lewis,female,North West,WN1 1ER,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
5063,5063,Eleanor Mitchell,female,South East,BN24 5HJ,White,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
8946,8946,Christopher Atkinson,male,East,MK17 8JY,White,United Kingdom,Other,,,,,,,,,,,,,,,
83,83,Terence Bradley,male,North West,BL2 5EX,White,United Kingdom,Other,0.0,0.0,1917.6278140000002,One family households,No,0.0,f9a838b2-8061-4e41-a294-e929e82eaff4,2.0,Couple,0.0,3 bedrooms,0.0,0.0,0.0,north west
7387,7387,Kenneth Carter,male,London,SW18 4SS,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
5566,5566,Rebecca Gregory,female,Yorkshire and The Humber,YO19 5RL,White,United Kingdom,7. Sales and customer service occupations,,,,,,,,,,,,,,,
9456,9456,Ellie Clark,female,West Midlands,CV11 6QE,White,Canada,Other,,,,,,,,,,,,,,,
849,849,Gregory Pearce,male,Scotland,EH22 4RZ,White,United Kingdom,8. Process plant and machine operatives,0.0,284.0,8705.264877,One person household,No,0.0,684dd337-40dd-4e96-b9ea-fd6355f24d10,1.0,Under 65,0.0,2 bedrooms,0.0,0.0,0.0,scotland
9613,9613,Vincent Goodwin,male,West Midlands,B75 7SZ,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
252,252,Paul Turner,male,North West,PR8 3NA,White,United Kingdom,Other,1.0,1632.0,1991.029568,One family households,Yes,4198.139735,b5499588-1378-4897-acf9-23cf4ae0b322,4.0,Couple,0.0,3 bedrooms,0.0,0.0,0.0,north west
7608,7608,Iain Taylor,male,South East,CT8 8AX,White,United Kingdom,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
8009,8009,Eleanor Day,female,East Midlands,S42 5UA,White,United Kingdom,Other,,,,,,,,,,,,,,,
7305,7305,Norman Johnson,male,London,N2 9RG,Black / African / Caribbean / Black British,Slovakia,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
4888,4888,Patrick Cooke,male,London,SW14 8BZ,Asian / Asian British: Chinese,United Kingdom,Other,,,,,,,,,,,,,,,
8394,8394,Suzanne Jones,female,North West,L1 6HB,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
9415,9415,Rosie Hale,female,North West,BB10 1EH,White,United Kingdom,Other,,,,,,,,,,,,,,,
3950,3950,Raymond Williams,male,South East,CT6 5RG,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
8581,8581,Charlie Phillips,male,Yorkshire and The Humber,S25 3RG,White,United Kingdom,Other,,,,,,,,,,,,,,,
3264,3264,Elliott King,male,Scotland,AB24 4NA,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
9060,9060,Brandon Johnson,male,North West,CH47 9SJ,White,United Kingdom,Other,,,,,,,,,,,,,,,
1476,1476,Olivia Day,female,East Midlands,NN8 4QH,White,United Kingdom,8. Process plant and machine operatives,,,,,,,,,,,,,,,
6188,6188,Lynne Ahmed,female,London,CR4 1HW,White,United Kingdom,"1. Managers, directors and senior officials",,,,,,,,,,,,,,,
5993,5993,Robin Chapman,male,East,RM16 6NG,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
4678,4678,Mohammad Fuller,male,South East,KT14 7DD,White,United Kingdom,Other,,,,,,,,,,,,,,,
7303,7303,Sharon Wilkinson,female,West Midlands,TF3 1EA,Asian / Asian British: Chinese,United Kingdom,Other,,,,,,,,,,,,,,,
9444,9444,Maureen Moore,female,North West,CH66 3LX,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
746,746,Ricky Morgan,male,South East,BN15 9QF,White,United Kingdom,2. Professional occupations,0.0,0.0,1305.786325,One family households,Yes,10118.78711,4cf97c19-de81-4657-bcfc-f1f1e4209264,2.0,Couple,0.0,2 bedrooms,0.0,0.0,0.0,south east
3361,3361,Christine Ford,female,North West,M5 4US,White,United Kingdom,9. Elementary occupations,,,,,,,,,,,,,,,
6226,6226,Timothy Cartwright,male,West Midlands,CV6 4GX,White,United Kingdom,Other,,,,,,,,,,,,,,,
7702,7702,Diana Campbell,female,London,NW10 3BJ,Other Ethnic Group,United Kingdom,Other,,,,,,,,,,,,,,,
574,574,Lesley Lewis,female,London,RM12 6JR,White,United Kingdom,Other,1.0,0.0,811.3423318,Lone parent,Yes,7041.203331000001,36a16b75-0d43-4596-a45e-9457eddd818a,4.0,Lone Parent,0.0,4 bedrooms,0.0,0.0,0.0,london
2733,2733,Vincent Read,male,East Midlands,DE15 0RX,White,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
2916,2916,Roger Alexander,male,South East,OX28 2JX,White,United Kingdom,Other,,,,,,,,,,,,,,,
5775,5775,Clifford Martin,male,South West,BS10 6EW,White,United Kingdom,Other,,,,,,,,,,,,,,,
2078,2078,Rita Barry,female,North West,OL1 4RW,White,United Kingdom,8. Process plant and machine operatives,,,,,,,,,,,,,,,
7021,7021,Cheryl Schofield,female,South West,TR10 9EG,White,United Kingdom,Other,,,,,,,,,,,,,,,
3532,3532,Colin Day,male,North West,PR1 8DL,White,United Kingdom,"6. Caring, leisure and other service occupations",,,,,,,,,,,,,,,
3158,3158,Danielle Booth,female,South West,BS6 9LD,White,United Kingdom,Other,,,,,,,,,,,,,,,
3685,3685,Scott Hartley,male,North East,NE30 2RZ,Black / African / Caribbean / Black British,United Kingdom,9. Elementary occupations,,,,,,,,,,,,,,,
2974,2974,Beth Turner,female,Scotland,KW15 1HX,White,United Kingdom,9. Elementary occupations,,,,,,,,,,,,,,,
5588,5588,Robert Wood,male,Scotland,PA11 3PZ,White,United Kingdom,Other,,,,,,,,,,,,,,,
4666,4666,Sara Parker,female,South West,TQ3 2DU,White,United Kingdom,Other,,,,,,,,,,,,,,,
1728,1728,Maurice Walton,male,South East,MK3 7AF,White,United Kingdom,7. Sales and customer service occupations,,,,,,,,,,,,,,,
3812,3812,Abdul Thompson,male,East,IP24 1DF,White,United Kingdom,Other,,,,,,,,,,,,,,,
8796,8796,Frank Carpenter,male,London,SW9 8AX,Asian / Asian British: Indian,United Kingdom,Other,,,,,,,,,,,,,,,
6500,6500,Hilary Cooke,female,London,SE7 8LB,Asian / Asian British: Bangladeshi,United Kingdom,"6. Caring, leisure and other service occupations",,,,,,,,,,,,,,,
50,50,Eleanor Davis,female,West Midlands,ST13 9BG,Asian / Asian British: Indian,United Kingdom,2. Professional occupations,0.0,0.0,824.2463180999999,One family households,Yes,2118.730275,0a1ebe79-f159-41b2-81c7-70f189ea36bf,3.0,Child,0.0,2 bedrooms,0.0,0.0,0.0,west midlands
3370,3370,John Smith,male,East Midlands,NN8 5PZ,White,United Kingdom,"6. Caring, leisure and other service occupations",,,,,,,,,,,,,,,
2590,2590,Samuel Jones,male,Scotland,ML1 4QF,Asian / Asian British: Chinese,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
8685,8685,Harry Collins,male,West Midlands,DY8 4BU,White,United Kingdom,8. Process plant and machine operatives,,,,,,,,,,,,,,,
1727,1727,Kirsty Roberts,female,East Midlands,NG17 7FQ,White,United Kingdom,Other,,,,,,,,,,,,,,,
3874,3874,Natalie White,female,Scotland,EH49 7NS,White,United Kingdom,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
3380,3380,Iain Brooks,male,Yorkshire and The Humber,S9 5FP,White,United Kingdom,7. Sales and customer service occupations,,,,,,,,,,,,,,,
4324,4324,Annette Willis,female,Yorkshire and The Humber,BD18 3TJ,White,United Kingdom,8. Process plant and machine operatives,,,,,,,,,,,,,,,
5000,5000,Jessica Storey,female,South West,TQ5 8NB,White,Jamaica,Other,,,,,,,,,,,,,,,
6625,6625,Hannah Johnson,female,South West,TA24 6PN,White,United Kingdom,Other,,,,,,,,,,,,,,,
3373,3373,Clare Quinn,female,London,N10 1AE,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
8825,8825,Bradley Perkins,male,East,CM21 0JP,White,United Kingdom,Other,,,,,,,,,,,,,,,
8199,8199,Aimee Curtis,female,Yorkshire and The Humber,YO31 1AA,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
4823,4823,Jessica Cook,female,West Midlands,B19 2UB,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
3778,3778,Jason Ali,male,North East,TS22 5HU,White,United Kingdom,Other,,,,,,,,,,,,,,,
7678,7678,Donna Simpson,female,South West,TR16 4QZ,White,Poland,Other,,,,,,,,,,,,,,,
2254,2254,Shannon Rose,female,Wales,SA11 9DG,White,United Kingdom,Other,,,,,,,,,,,,,,,
4572,4572,Linda Roberts,female,Yorkshire and The Humber,DL11 7QF,White,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
1000,1000,Katy Cooper,female,East,NR10 4NB,White,United Kingdom,"1. Managers, directors and senior officials",,,,,,,,,,,,,,,
9270,9270,Brett Bibi,male,London,SW4 6HH,Asian / Asian British: Indian,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
5585,5585,Luke Johnson,male,South West,PL26 8EP,White,United Kingdom,7. Sales and customer service occupations,,,,,,,,,,,,,,,
7902,7902,Arthur Holloway,male,Northern Ireland,BT37 0GY,White,Netherlands,Other,,,,,,,,,,,,,,,
2085,2085,Dennis Johnson,male,Yorkshire and The Humber,LS23 7FY,White,United Kingdom,Other,,,,,,,,,,,,,,,
5384,5384,Kenneth Gregory,male,Scotland,KY9 1DS,White,United Kingdom,Other,,,,,,,,,,,,,,,
614,614,Patrick Davies,male,West Midlands,B91 3QJ,White,Iran,Other,0.0,0.0,1205.718497,One family households,Yes,3181.023016,4f7c5fd8-4156-42f6-aef8-866b7a33f8c5,2.0,Couple,0.0,2 bedrooms,0.0,0.0,0.0,west midlands
9298,9298,Olivia Miller,female,South West,TA21 9LQ,White,United Kingdom,Other,,,,,,,,,,,,,,,
1498,1498,David Dennis,male,South East,CT13 0WU,White,United Kingdom,Other,,,,,,,,,,,,,,,
2887,2887,Danny Griffiths,male,South East,KT20 6HW,White,United Kingdom,Other,,,,,,,,,,,,,,,
8703,8703,Lynda Holt,female,East,SG9 9RB,White,United Kingdom,Other,,,,,,,,,,,,,,,
7719,7719,Wayne Kennedy,male,Wales,CF11 9DF,White,Turkey,Other,,,,,,,,,,,,,,,
5093,5093,Deborah Bradley,female,North West,PR7 7GA,White,United Kingdom,Other,,,,,,,,,,,,,,,
4269,4269,Vincent Perry,male,North West,CH46 6HU,White,United Kingdom,Other,,,,,,,,,,,,,,,
6570,6570,Elliott Pearson,male,London,IG11 8JN,White,United Kingdom,7. Sales and customer service occupations,,,,,,,,,,,,,,,
9414,9414,Beth Williams,female,South East,GU27 3JJ,White,United Kingdom,Other,,,,,,,,,,,,,,,
1422,1422,John Taylor,male,London,RM12 4QQ,Other Ethnic Group,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
8078,8078,Kyle Short,male,Scotland,AB52 6XF,White,United Kingdom,Other,,,,,,,,,,,,,,,
2654,2654,Katie Armstrong,female,South East,TN23 6NB,White,United Kingdom,Other,,,,,,,,,,,,,,,
4148,4148,Melissa Walsh,female,East,NR18 0LX,White,United Kingdom,Other,,,,,,,,,,,,,,,
1326,1326,Marc Murphy,male,East,SS15 5EA,White,United Kingdom,Other,,,,,,,,,,,,,,,
7653,7653,Jake Lewis,male,London,BR6 1EF,White,Poland,9. Elementary occupations,,,,,,,,,,,,,,,
2835,2835,Ruth Summers,female,East Midlands,LE3 2UL,White,United Kingdom,Other,,,,,,,,,,,,,,,
9370,9370,Benjamin Griffiths,male,East Midlands,NG17 9BX,Black / African / Caribbean / Black British,United Kingdom,Other,,,,,,,,,,,,,,,
2516,2516,Nathan Smith,male,East Midlands,NG18 4SB,White,United Kingdom,"1. Managers, directors and senior officials",,,,,,,,,,,,,,,
2625,2625,Glenn Shaw,male,South West,SN4 0NG,White,United Kingdom,Other,,,,,,,,,,,,,,,
5991,5991,Adrian Taylor,male,East,NR4 7TY,White,United Kingdom,Other,,,,,,,,,,,,,,,
5747,5747,Olivia Holden,female,London,DA8 3NN,White,United Kingdom,Other,,,,,,,,,,,,,,,
2922,2922,Jack Coles,male,Yorkshire and The Humber,S8 0HG,White,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
59,59,Lydia Johnson,female,South West,TR3 6AJ,White,United Kingdom,Other,0.0,0.0,2614.2407989999997,One family households,No,0.0,4364d82c-35c8-45c5-a3e9-c73145a889b9,2.0,Couple,0.0,1 bedroom,0.0,0.0,0.0,south west
199,199,Lindsey Morris,female,West Midlands,CV2 4DW,White,United Kingdom,3. Associate professional and technical occupat...,0.0,142.0,1466.9363460000002,One family households,Yes,6223.227323,cc7ce33f-b0a0-42f0-abcb-45af572bc6c6,3.0,Couple,0.0,3 bedrooms,0.0,0.0,0.0,west midlands
3732,3732,Natalie Watkins,female,West Midlands,DY3 2QQ,White,United Kingdom,"1. Managers, directors and senior officials",,,,,,,,,,,,,,,
1566,1566,Martin Powell,male,North West,CW11 4RS,White,United Kingdom,Other,,,,,,,,,,,,,,,
843,843,Cameron Daniels,male,Northern Ireland,BT93 7BS,White,United Kingdom,Other,0.0,0.0,995.8383729000001,One family households,No,0.0,95f9033d-14f9-41c3-884e-17370a54db2a,2.0,Couple,0.0,3 bedrooms,0.0,0.0,0.0,northern ireland
7798,7798,Adam Bond,male,East,CM19 4NL,Mixed / Multiple ethnic group,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
7092,7092,Kayleigh Dunn,female,Yorkshire and The Humber,S63 9LJ,White,United Kingdom,Other,,,,,,,,,,,,,,,
9033,9033,Tom Murphy,male,Scotland,EH26 9NQ,White,France,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
7737,7737,Beverley Short,female,East Midlands,NG15 6PA,White,United Kingdom,Other,,,,,,,,,,,,,,,
4707,4707,Hugh Elliott,male,West Midlands,B23 5HW,White,United Kingdom,"1. Managers, directors and senior officials",,,,,,,,,,,,,,,
5767,5767,Abbie Taylor,female,South West,BA12 0HF,White,United Kingdom,7. Sales and customer service occupations,,,,,,,,,,,,,,,
1073,1073,Antony Clarke,male,London,EN1 4DD,White,Czech Republic,5. Skilled trades occupations,,,,,,,,,,,,,,,
9631,9631,Angela Oliver,female,North West,L11 1BZ,White,United Kingdom,Other,,,,,,,,,,,,,,,
2126,2126,Nathan Harris,male,West Midlands,SY1 4YG,White,United Kingdom,Other,,,,,,,,,,,,,,,
7466,7466,Josh Stevens,male,Wales,NP8 1PA,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
3808,3808,Jayne Kelly,female,London,SE18 1QD,Asian / Asian British: Other Asian,Australia,8. Process plant and machine operatives,,,,,,,,,,,,,,,
4125,4125,Jemma Bailey,female,Yorkshire and The Humber,HD3 3UQ,White,United Kingdom,Other,,,,,,,,,,,,,,,
5951,5951,Roger Wright,male,London,SW6 4HL,White,United Kingdom,Other,,,,,,,,,,,,,,,
3173,3173,Louise Smith,female,Wales,LL13 0BQ,White,United Kingdom,Other,,,,,,,,,,,,,,,
3281,3281,Gillian Smith,female,London,N9 9EF,Asian / Asian British: Chinese,United Kingdom,9. Elementary occupations,,,,,,,,,,,,,,,
4519,4519,Elliott Richards,male,London,E17 3GX,White,United Kingdom,"6. Caring, leisure and other service occupations",,,,,,,,,,,,,,,
9959,9959,Lorraine Farmer,female,London,SW4 7DS,White,United Kingdom,Other,,,,,,,,,,,,,,,
45,45,Martyn Bibi,male,Yorkshire and The Humber,TS9 7BL,White,United Kingdom,"6. Caring, leisure and other service occupations",0.0,712.0,101.28769790000001,One family households,No,0.0,055cb102-3abf-4251-9fd8-0803ab21ec38,4.0,Couple,0.0,3 bedrooms,0.0,0.0,0.0,yorkshire and the humber
5462,5462,Lisa Walker,female,South East,GU14 6BB,White,United Kingdom,Other,,,,,,,,,,,,,,,
9032,9032,Natasha Wood,female,South West,TA11 6EU,White,United Kingdom,"1. Managers, directors and senior officials",,,,,,,,,,,,,,,
4409,4409,Leigh Cooper,male,North East,DL1 4LJ,White,United Kingdom,9. Elementary occupations,,,,,,,,,,,,,,,
8880,8880,Aimee Harding,female,North West,CW8 2ZH,White,United Kingdom,Other,,,,,,,,,,,,,,,
6052,6052,Russell Richardson,male,South East,TN37 6RA,White,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
7031,7031,Carl Williams,male,West Midlands,DY12 2UT,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
5319,5319,Nigel Robertson,male,South West,BS34 7PT,White,United Kingdom,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
993,993,Julia Hopkins,female,South East,GU18 5XP,White,United Kingdom,Other,1.0,0.0,3578.97675,One family households,No,0.0,72d086c8-ec70-4c83-8814-c89eca2dd956,4.0,Couple,0.0,4 bedrooms,0.0,0.0,0.0,south east
8573,8573,Gordon Franklin,male,East Midlands,PE12 6BX,White,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
4917,4917,Carly Kerr,female,East Midlands,NG34 9AL,White,United Kingdom,Other,,,,,,,,,,,,,,,
5318,5318,Joel Lambert,male,East Midlands,LE65 2PW,White,United Kingdom,Other,,,,,,,,,,,,,,,
9384,9384,Leah Smith,female,Yorkshire and The Humber,HD4 7NB,White,United Kingdom,Other,,,,,,,,,,,,,,,
5656,5656,Shane Baker,male,South East,ME10 3BQ,White,United Kingdom,Other,,,,,,,,,,,,,,,
2369,2369,Edward Hewitt,male,East Midlands,DE23 6RF,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
5143,5143,George Blake,male,Yorkshire and The Humber,LS7 2DN,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
8180,8180,Leah Morton,female,East Midlands,DE7 8TW,Asian / Asian British: Indian,United Kingdom,Other,,,,,,,,,,,,,,,
1746,1746,Roger Jones,male,East,PE28 4JT,White,United Kingdom,Other,,,,,,,,,,,,,,,
6585,6585,Katie Steele,female,East Midlands,LE3 0GW,White,Poland,Other,,,,,,,,,,,,,,,
9289,9289,Ben Sanderson,male,East,IP27 0JW,White,United Kingdom,5. Skilled trades occupations,,,,,,,,,,,,,,,
3490,3490,Melanie Tomlinson,female,West Midlands,HR9 5SL,White,United Kingdom,Other,,,,,,,,,,,,,,,
8642,8642,Victoria Robson,female,North West,CH44 1EH,White,United Kingdom,8. Process plant and machine operatives,,,,,,,,,,,,,,,
4595,4595,Neil Brooks,male,Yorkshire and The Humber,WF17 8BJ,White,United Kingdom,3. Associate professional and technical occupat...,,,,,,,,,,,,,,,
3959,3959,Eric Arnold,male,Wales,SA62 6LR,Asian / Asian British: Other Asian,United Kingdom,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
6620,6620,Craig Forster,male,Yorkshire and The Humber,S3 7QP,White,United Kingdom,Other,,,,,,,,,,,,,,,
9563,9563,Gareth O'Brien,male,London,RM13 7BJ,White,United States of America,Other,,,,,,,,,,,,,,,
9811,9811,Janice Thompson,female,London,NW7 1ND,Asian / Asian British: Indian,United Kingdom,Other,,,,,,,,,,,,,,,
6385,6385,Adrian Willis,male,East Midlands,DE21 6UX,White,United Kingdom,Other,,,,,,,,,,,,,,,
9158,9158,Benjamin Jackson,male,London,E8 4PD,White,United Kingdom,Other,,,,,,,,,,,,,,,
8979,8979,Natalie North,female,Yorkshire and The Humber,WF15 7DP,Asian / Asian British: Pakistani,United Kingdom,Other,,,,,,,,,,,,,,,
4137,4137,Vincent Butler,male,South West,DT2 0BQ,White,United Kingdom,4. Administrative and secretarial occupations,,,,,,,,,,,,,,,
3817,3817,Jake Webb,male,South West,GL10 3LP,White,United Kingdom,Other,,,,,,,,,,,,,,,
4151,4151,Christopher Bailey,male,London,SE3 7SE,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
7007,7007,Amelia Jones,female,Yorkshire and The Humber,S66 9PG,White,Brazil,Other,,,,,,,,,,,,,,,
7978,7978,Philip Hawkins,male,South West,EX14 3DJ,White,United Kingdom,Other,,,,,,,,,,,,,,,
4023,4023,Frank Wood,male,East,SS1 2SD,White,Latvia,8. Process plant and machine operatives,,,,,,,,,,,,,,,
2201,2201,Harry Jones,male,South East,ME15 6QJ,White,United Kingdom,"1. Managers, directors and senior officials",,,,,,,,,,,,,,,
697,697,Billy Fisher,male,East,SS11 7GL,White,United Kingdom,Other,0.0,0.0,1248.153519,One family households,Yes,3478.398021,011dfd03-e280-41aa-bc11-2be272b92a9c,2.0,Couple,0.0,2 bedrooms,0.0,0.0,0.0,east
9037,9037,Brandon Williams,male,South East,HP19 7BP,White,United Kingdom,Other,,,,,,,,,,,,,,,
4357,4357,Ryan Smith,male,London,TW8 8FQ,White,United Kingdom,Other,,,,,,,,,,,,,,,
7024,7024,Emily Edwards,female,South East,BN14 7BL,White,United Kingdom,9. Elementary occupations,,,,,,,,,,,,,,,
4983,4983,Linda Cartwright,female,London,SE8 5AQ,Asian / Asian British: Indian,United Kingdom,Other,,,,,,,,,,,,,,,
7327,7327,Kyle Simpson,male,East Midlands,S33 0AT,White,United Kingdom,Other,,,,,,,,,,,,,,,
9330,9330,Lisa Kelly,female,South West,BH14 8BG,White,United Kingdom,2. Professional occupations,,,,,,,,,,,,,,,
1707,1707,Martyn Begum,male,London,SE7 8FA,Asian / Asian British: Chinese,United Kingdom,Other,,,,,,,,,,,,,,,
